r,t,f,y,ProductionByTechnologyAnnual
RE1,DEMRESCKNELC,RESCKN,2055,317.7099
RE1,DEMRESCKNELC,RESCKN,2056,320.1861
RE1,DEMRESCKNELC,RESCKN,2057,322.6817
RE1,DEMRESCKNELC,RESCKN,2058,325.1966
RE1,DEMRESCKNELC,RESCKN,2059,327.7312
RE1,DEMRESCKNELC,RESCKN,2060,330.2856
RE1,DEMRESCKNELC,RESCKN,2061,332.8598
RE1,DEMRESCKNELC,RESCKN,2062,335.4541
RE1,DEMRESCKNELC,RESCKN,2063,338.0686
RE1,DEMRESCKNELC,RESCKN,2064,340.7035
RE1,DEMRESCKNELC,RESCKN,2065,343.359
RE1,DEMRESCKNELC,RESCKN,2066,346.0351
RE1,DEMRESCKNELC,RESCKN,2067,348.7321
RE1,DEMRESCKNELC,RESCKN,2068,351.4501
RE1,DEMRESCKNELC,RESCKN,2069,354.1893
RE1,DEMRESCKNELC,RESCKN,2070,356.9499
RE1,DEMRESCKNOIL,RESCKN,2015,117.5028
RE1,DEMRESCKNOIL,RESCKN,2016,111.7023
RE1,DEMRESCKNOIL,RESCKN,2017,113.3469
RE1,DEMRESCKNOIL,RESCKN,2018,117.4106
RE1,DEMRESCKNOIL,RESCKN,2019,120.876
RE1,DEMRESCKNOIL,RESCKN,2020,124.3333
RE1,DEMRESCKNOIL,RESCKN,2021,126.9942
RE1,DEMRESCKNOIL,RESCKN,2022,129.6497
RE1,DEMRESCKNOIL,RESCKN,2023,132.3
RE1,DEMRESCKNOIL,RESCKN,2024,134.9456
RE1,DEMRESELC,RESELC,2015,163.7593
RE1,DEMRESELC,RESELC,2016,173.2287
RE1,DEMRESELC,RESELC,2017,181.3445
RE1,DEMRESELC,RESELC,2018,189.4604
RE1,DEMRESELC,RESELC,2019,197.5763
RE1,DEMRESELC,RESELC,2020,205.6922
RE1,DEMRESELC,RESELC,2021,211.9215
RE1,DEMRESELC,RESELC,2022,218.1507
RE1,DEMRESELC,RESELC,2023,224.38
RE1,DEMRESELC,RESELC,2024,230.6092
RE1,DEMRESELC,RESELC,2025,7.6175
RE1,DEMRESELC,RESELC,2026,7.834
RE1,DEMRESELC,RESELC,2027,8.0505
RE1,DEMRESELC,RESELC,2028,9.2763
RE1,DEMRESELC,RESELC,2029,14.4396
RE1,DEMRESELC,RESELC,2030,6.5973
RE1,DEMRESELC,RESELC,2031,6.785
RE1,DEMRESELC,RESELC,2032,5.6119
RE1,DEMRESELC,RESELC,2033,5.7629
RE1,DEMRESELC,RESELC,2034,5.914
RE1,DEMRESELC,RESELC,2035,7.5356
RE1,DEMRESELC,RESELC,2036,7.6866
RE1,DEMRESELC,RESELC,2037,7.8377
RE1,DEMRESELC,RESELC,2038,7.9888
RE1,DEMRESELC,RESELC,2039,8.1398
RE1,DEMRESELC,RESELC,2040,8.2909
RE1,DEMRESELC,RESELC,2041,8.4388
RE1,DEMRESELC,RESELC,2042,8.5868
RE1,DEMRESELC,RESELC,2043,8.7347
RE1,DEMRESELC,RESELC,2044,8.8826
RE1,DEMRESELC,RESELC,2045,7.2682
RE1,DEMRESELC,RESELC,2046,9.1336
RE1,DEMRESELC,RESELC,2047,9.2366
RE1,DEMRESELC,RESELC,2048,7.517
RE1,DEMRESELC,RESELC,2049,7.5999
RE1,DEMRESELC,RESELC,2050,28.34
RE1,DEMRESELC,RESELC,2051,45.5798
RE1,DEMRESELC,RESELC,2052,66.3691
RE1,DEMRESELC,RESELC,2053,84.5594
RE1,DEMRESELC,RESELC,2054,102.7996
RE1,DEMRESELC,RESELC,2055,218.4672
RE1,DEMRESELC,RESELC,2056,213.7195
RE1,DEMRESELC,RESELC,2057,212.4924
RE1,DEMRESELC,RESELC,2058,204.3592
RE1,DEMRESELC,RESELC,2059,66.0241
RE1,DEMRESELC,RESELC,2060,37.7605
RE1,DEMRESELC,RESELC,2061,42.6384
RE1,DEMRESELC,RESELC,2062,47.5708
RE1,DEMRESELC,RESELC,2063,34.3999
RE1,DEMRESELC,RESELC,2064,11.1494
RE1,DEMRESELC,RESELC,2065,11.2738
