r,t,m,y,TotalAnnualTechnologyActivityByMode
RE1,PWRHYD001,1,2028,33.9883
RE1,PWRHYD001,1,2029,33.9883
RE1,PWRHYD001,1,2030,33.9883
RE1,PWRHYD001,1,2031,33.9883
RE1,PWRHYD001,1,2032,33.9883
RE1,PWRHYD001,1,2033,33.9883
RE1,PWRHYD001,1,2034,33.9883
RE1,PWRHYD001,1,2035,33.9883
RE1,PWRHYD001,1,2036,33.9883
RE1,PWRHYD001,1,2037,33.9883
RE1,PWRHYD001,1,2038,33.9883
RE1,PWRHYD001,1,2039,33.9883
RE1,PWRHYD001,1,2040,33.9883
RE1,PWRHYD001,1,2041,33.9883
RE1,PWRHYD001,1,2042,33.9883
RE1,PWRHYD001,1,2043,33.9883
RE1,PWRHYD001,1,2044,33.9883
RE1,PWRHYD001,1,2045,33.9883
RE1,PWRHYD001,1,2046,33.9883
RE1,PWRHYD001,1,2047,33.9883
RE1,PWRHYD001,1,2048,33.9883
RE1,PWRHYD001,1,2049,33.9883
RE1,PWRHYD001,1,2050,33.9883
RE1,PWRHYD001,1,2051,33.9883
